date,title,url,source_name,language,keyword,event_name,relevance_label,risk_score
2008-11-03,Business | Credit crisis: World in turmoil - BBC,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5yXzhyeHAtSkxfeW1xQTBDTGNNVUZGNDY0OHVNbGhzX3l1SWs3ZHpUQUM2cjA4U3VLc3N0MWtnLTZwcUtuWnJ4MERGM2FXa1RVVTByaFh6MFJxODQ?oc=5,BBC,en,global financial crisis crude oil,global_financial_crisis,relevant,2
2008-11-06,Fish and Fishery Products: a Global Market Analysis - The Fish Site,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPMThjU2pzbWRoR2RtamRVMFk2YTJRU2ZWT3pETTdNRldzVjdRMFJ3Z2FGUTVqRDhRVmdqcG9oUFhLdGJIYVRHaEN3VFBKdGRpWXhjbUt1a2Q0M21OTHZ1czNCNW4yYy1kMm5WNEVrTElQc3BqYV92em02N3B5NFJXTlJJUzc2dXExOS1B?oc=5,The Fish Site,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-11-11,"Kazakhstan Battles Financial Crisis With Bailout, Reforms - Radio Free Europe/Radio Liberty",https://news.google.com/rss/articles/CBMimAFBVV95cUxOUU13NEIxUzRncWVNaHZINnR5b0pMUktqTTl0RTJqUDR6TVZaRFhWWDV6VFdjWmtCaGhtMzdVTjJJZzBsYmsyZFFJb2hYZzhPTGtjdjViTnBiLVNoQTZaaVFNYk4tX0p5TXhTbTJRQ0RHQThBYjEwZFFSbUlBZHhmcmdtMklMcnBpUFdpaFM2VXI0ck04dmw0dNIBmwFBVV95cUxPdkVaUGkyRUlYSW1FZHd4ZU9GTGJaVm5SaGZNOEg5RVpURWQyRFB1N0ZUMzV2bzdyaG9Ub082dXQ5YkZEamdiRmZGMDdlTlFueHpoSEYtak5jMDhYUkJMYmFLMnliWFJ0UlUxNGpKNXRwU05pcU9oLUs0Tk9IWS1ydV9PX1JqWW5iMzVPMl9hMHp1bDhnRHY0LUFpVQ?oc=5,Radio Free Europe/Radio Liberty,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-11-11,The Five Stages of Collapse - resilience.org,https://news.google.com/rss/articles/CBMieEFVX3lxTFBjd21xc2NWVEIyZ2wtSzhHMFZrLTl3a0VJZWhtTWxWTEN1RUtGZUpWVm01TUFLLWlrVE10Y2QtXzBWcV91MmM0R0Fma3dpR0JzVnRjYUNDMnJIMkpwaWp5ZVZMRHNzQWRtd0NiTHhBX1luNzJ3TS1pYQ?oc=5,resilience.org,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-11-12,Grocery prices still high despite oil price drop - The Guam Daily Post,https://news.google.com/rss/articles/CBMizwFBVV95cUxPcXN1bDFhNnNrUnhCY2lMV0FYZEJMenpDR3BLVWI3YnZDQ3pPaU5RQWp3ajFkWGRnQ1VPdE1vUUtjQmcwMUM5VS0wZWZubVVxOGlQUmt5dDU0VngxU0JlbURpUThNVWxIZWRkVm9fRDUwQXhYZWF0SFpjQTBheWxfazJiRjB3WG44OTZ5QnRkbVkteVRhUnptZkx6Q2lFQ3ZlZW5YZ3hJYk5sQ2lKTGNTZjZRZTBkSjJlZjhTcWxNa1hmeGcyay1nNi1TRDdSMkU?oc=5,The Guam Daily Post,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-11-13,What Caused the Big Slide in Oil Prices - Time Magazine,https://news.google.com/rss/articles/CBMifkFVX3lxTE9yVkRDNVpqRlRTYnZwLVhTS3NoYUZQZzRIZjZVOWZwVmdUaTNLM0VZTVJXWGlFcW9LZW5xaVpGbEJmNEtXRGdVZ3RldC13cUk3MXA2dDUzYjNHZ2ZhemdNMFhOOW1WZkVheDRpdkZ0bEJtSVhrekl5R0U5ZGVEUQ?oc=5,Time Magazine,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-11-18,New Nigerian ministers nominated - Al Jazeera,https://news.google.com/rss/articles/CBMif0FVX3lxTE1vU3FaLWpHSGI4ZlMtbE1XM0JJYUFvRE9UZWpZNEhIdVU2VXh0WVRucEo0UFJsZlFtRlJCVmRWOWdxUE84NjFaZnRzU2RCQXFxSmJuQjhPX25SenF0THZJR0pnWTNISTFHbHlZUDBueS1ZMFh4RlJSLXNTbEcxNFnSAYQBQVVfeXFMTVNZZ2dNOXctQkZSdUxaVXVRNTlxY1JPTFdMOF9YSWhYQ2V5eWQtM0hsSEgzNUZjSE5nTncxbFJtSkJXQWZHSDhOYlZJRzFqa3hBLW1HSC1lLVlhSE9MYzI5b3luOEFySXdFWTkxc1M3RmFINXlDUjBBYW8yNm5vcWJSaGRT?oc=5,Al Jazeera,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-11-20,Latin America and the Financial Crisis - Council on Foreign Relations,https://news.google.com/rss/articles/CBMicEFVX3lxTFBWNUtuRU9fb0hCTnZ5ak5yak9LX0dIWlczNFRrQVpQSFdrMVY4YzhkQmpnWG5UVkp0SjNDYzg1RUpfaFdzcVFMNGZOMzZPWDhDNjBFXzdfaEFpTHBtcFlBaWdLQ2xNejNrVFpSUUdpblo?oc=5,Council on Foreign Relations,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-11-20,"Russia close to economic collapse as oil price falls, experts predict - The Guardian",https://news.google.com/rss/articles/CBMihgFBVV95cUxQR3I4WS1fMDZnQ1AweWVXVGx3N3Fhbk9WMmZLRnE1LVlQZDh2RHc1YjBPdkxFQmxBMFFPVFo0QVB4UGV0UlI2X3VTTkdfcnJCWElrbFJ3LUs1dC13dGFwb1E2aTRTLVZKMmh6dExUaXBpLWRvWmd3SjhNSDRZNVBrSlprVGlhZw?oc=5,The Guardian,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-11-30,"The Ideologist, The Crisis, And The West - Radio Free Europe/Radio Liberty",https://news.google.com/rss/articles/CBMigAFBVV95cUxNSFhnNWlicXMtc1BwZS1pVUdZX2phUlRFYW1zOUJzemt5aFhTeHJZMlhjX2NCc3cyS2VyVHM3alhWNGFlX3VLdC1HNjI3bl9WSXlFMzBXckluQ3JWNFItdnRyODVzUXY2aGNycjllQjdIRXk5cW81SWR6N1ZfbW9mNtIBgwFBVV95cUxPQ1M3cUpLU1VhZVFXS094Y1VQb1RJOFVHNEZCMHppVnFEN1Zpdmw0NWMyckc3eTBFWGZjZFBzQ3BkblVMakJoSWNvZ0FxSWFreGlmTVZVcUN4TXZWdDNLWWN1bmk5T1ZCU2NLVHRlbFJsTE96bkdwSWJQb0theml1Nm5EMA?oc=5,Radio Free Europe/Radio Liberty,en,financial crisis oil price,global_financial_crisis,relevant,2
