date,usd_krw,usd_krw_change_rate,source
2008-09-01,1204.800048828125,0.10633613299185041,existing_project_raw_oil_project_csv
2008-09-02,1134.45,-0.058391472424451196,existing_project_raw_oil_project_csv
2008-09-03,1147.9,0.011855965445810801,existing_project_raw_oil_project_csv
2008-09-04,1130.3,-0.015332346023172905,existing_project_raw_oil_project_csv
2008-09-05,1117.8,-0.011059010882066733,existing_project_raw_oil_project_csv
2008-09-06,1117.8,0.0,existing_project_raw_oil_project_csv
2008-09-07,1117.8,0.0,existing_project_raw_oil_project_csv
2008-09-08,1081.2,-0.03274288781535151,existing_project_raw_oil_project_csv
2008-09-09,1099.5,0.016925638179800195,existing_project_raw_oil_project_csv
2008-09-10,1091.3,-0.007457935425193352,existing_project_raw_oil_project_csv
2008-09-11,1110.0,0.017135526436360404,existing_project_raw_oil_project_csv
2008-09-12,1106.5,-0.003153153153153121,existing_project_raw_oil_project_csv
2008-09-13,1106.5,0.0,existing_project_raw_oil_project_csv
2008-09-14,1106.5,0.0,existing_project_raw_oil_project_csv
2008-09-15,1117.85,0.010257568910980508,existing_project_raw_oil_project_csv
2008-09-16,1159.75,0.037482667620879484,existing_project_raw_oil_project_csv
2008-09-17,1115.5,-0.03815477473593443,existing_project_raw_oil_project_csv
2008-09-18,1152.4,0.033079336620349675,existing_project_raw_oil_project_csv
2008-09-19,1139.5,-0.011194029850746356,existing_project_raw_oil_project_csv
2008-09-20,1139.5,0.0,existing_project_raw_oil_project_csv
2008-09-21,1139.5,0.0,existing_project_raw_oil_project_csv
2008-09-22,1127.3,-0.010706450197455086,existing_project_raw_oil_project_csv
2008-09-23,1146.5,0.01703184600372576,existing_project_raw_oil_project_csv
2008-09-24,1153.5,0.0061055385957260455,existing_project_raw_oil_project_csv
2008-09-25,1148.8,-0.004074555700043336,existing_project_raw_oil_project_csv
2008-09-26,1160.1,0.009836350974930408,existing_project_raw_oil_project_csv
2008-09-27,1160.1,0.0,existing_project_raw_oil_project_csv
2008-09-28,1160.1,0.0,existing_project_raw_oil_project_csv
2008-09-29,1185.75,0.022110162916989973,existing_project_raw_oil_project_csv
2008-09-30,1206.3,0.01733080328905756,existing_project_raw_oil_project_csv
2008-10-01,1289.199951171875,0.06872249952074538,existing_project_raw_oil_project_csv
2008-10-02,1222.9,-0.051427205773323714,existing_project_raw_oil_project_csv
2008-10-03,1220.9,-0.001635456701283844,existing_project_raw_oil_project_csv
2008-10-04,1220.9,0.0,existing_project_raw_oil_project_csv
2008-10-05,1220.9,0.0,existing_project_raw_oil_project_csv
2008-10-06,1267.4,0.03808665738389716,existing_project_raw_oil_project_csv
2008-10-07,1328.4,0.04813002998264171,existing_project_raw_oil_project_csv
2008-10-08,1415.25,0.06537940379403784,existing_project_raw_oil_project_csv
2008-10-09,1381.4,-0.023918035682741534,existing_project_raw_oil_project_csv
2008-10-10,1306.4,-0.05429274648906901,existing_project_raw_oil_project_csv
2008-10-11,1306.4,0.0,existing_project_raw_oil_project_csv
2008-10-12,1306.4,0.0,existing_project_raw_oil_project_csv
2008-10-13,1306.4,0.0,existing_project_raw_oil_project_csv
2008-10-14,1207.25,-0.075895590936926,existing_project_raw_oil_project_csv
2008-10-15,1237.5,0.02505694760820054,existing_project_raw_oil_project_csv
