date,diesel_price_krw
2010-03-02,1448.29
2010-03-03,1450.28
2010-03-04,1452.04
2010-03-05,1454.54
2010-03-06,1456.08
2010-03-07,1457.19
2010-03-08,1457.83
2010-03-09,1459.04
2010-03-10,1460.79
2010-03-11,1461.55
2010-03-12,1463.82
2010-03-13,1466.05
2010-03-14,1467.2
2010-03-15,1468.32
2010-03-16,1471.27
2010-03-17,1474.02
2010-03-18,1474.97
2010-03-19,1476.91
2010-03-20,1478.05
2010-03-21,1478.84
2010-03-22,1479.42
2010-03-23,1479.93
2010-03-24,1481.19
2010-03-25,1481.31
2010-03-26,1482.19
2010-03-27,1482.89
2010-03-28,1483.34
2010-03-29,1483.22
2010-03-30,1482.96
2010-03-31,1483.25
2010-04-01,1482.78
2010-04-02,1483.97
2010-04-03,1484.29
2010-04-04,1484.61
2010-04-05,1484.72
2010-04-06,1486.39
2010-04-07,1488.02
2010-04-08,1488.9
2010-04-09,1491.52
2010-04-10,1493.47
2010-04-11,1494.84
2010-04-12,1496.39
2010-04-13,1503.55
2010-04-14,1509.05
2010-04-15,1512.54
2010-04-16,1515.93
2010-04-17,1518.36
2010-04-18,1519.57
2010-04-19,1520.38
2010-04-20,1521.05
2010-04-21,1522.27
2010-04-22,1522.65
2010-04-23,1523.48
2010-04-24,1523.91
2010-04-25,1524.38
2010-04-26,1524.27
2010-04-27,1523.34
2010-04-28,1523.35
2010-04-29,1523.18
2010-04-30,1523.39
2010-05-01,1523.88
2010-05-02,1523.9
2010-05-03,1523.91
2010-05-04,1525.42
2010-05-05,1526.3
2010-05-06,1526.27
2010-05-07,1526.53
2010-05-08,1526.77
2010-05-09,1526.86
2010-05-10,1526.56
2010-05-11,1526.45
2010-05-12,1526.77
2010-05-13,1526.4
2010-05-14,1526.5
2010-05-15,1526.38
2010-05-16,1526.5
2010-05-17,1526.05
2010-05-18,1524.76
2010-05-19,1523.11
2010-05-20,1522.63
2010-05-21,1522.18
2010-05-22,1521.99
2010-05-23,1521.79
2010-05-24,1521.25
2010-05-25,1518.18
2010-05-26,1515.9
2010-05-27,1514.08
2010-05-28,1511.89
2010-05-29,1510.39
2010-05-30,1509.6
2010-05-31,1508.47
2010-06-01,1507.21
2010-06-02,1506.1
2010-06-03,1505.27
2010-06-04,1504.65
2010-06-05,1504.05
2010-06-06,1503.7
2010-06-07,1503.39
2010-06-08,1504.18
2010-06-09,1504.03
2010-06-10,1503.94
2010-06-11,1504.16
2010-06-12,1504.13
2010-06-13,1504.24
2010-06-14,1504.41
2010-06-15,1505.28
2010-06-16,1505.93
2010-06-17,1506.25
2010-06-18,1506.85
2010-06-19,1507.24
2010-06-20,1507.48
2010-06-21,1508.3
2010-06-22,1511.72
2010-06-23,1513.64
2010-06-24,1515.16
2010-06-25,1517.5
2010-06-26,1518.44
2010-06-27,1518.91
2010-06-28,1518.86
2010-06-29,1519.42
2010-06-30,1520.21
2010-07-01,1521.36
2010-07-02,1521.75
2010-07-03,1522.02
2010-07-04,1522.15
2010-07-05,1522.35
2010-07-06,1521.84
2010-07-07,1521.43
2010-07-08,1521.26
2010-07-09,1521.09
2010-07-10,1520.86
2010-07-11,1520.74
2010-07-12,1520.61
2010-07-13,1519.52
2010-07-14,1518.83
2010-07-15,1518.37
2010-07-16,1517.91
2010-07-17,1517.51
2010-07-18,1517.32
2010-07-19,1516.63
2010-07-20,1516.44
2010-07-21,1516.06
2010-07-22,1515.65
2010-07-23,1515.36
2010-07-24,1515.17
2010-07-25,1515.06
2010-07-26,1514.82
2010-07-27,1514.92
2010-07-28,1514.66
2010-07-29,1514.52
2010-07-30,1514.22
2010-07-31,1514.0
2010-08-01,1513.68
2010-08-02,1513.35
2010-08-03,1512.87
2010-08-04,1512.57
2010-08-05,1512.4
2010-08-06,1512.84
2010-08-07,1512.77
2010-08-08,1512.74
2010-08-09,1513.01
2010-08-10,1514.91
2010-08-11,1515.78
2010-08-12,1516.49
2010-08-13,1516.65
2010-08-14,1516.79
2010-08-15,1516.76
2010-08-16,1516.84
2010-08-17,1515.54
2010-08-18,1514.67
2010-08-19,1514.25
2010-08-20,1513.93
2010-08-21,1513.69
2010-08-22,1513.41
2010-08-23,1513.12
2010-08-24,1511.42
2010-08-25,1510.52
2010-08-26,1509.8
2010-08-27,1509.16
2010-08-28,1508.43
2010-08-29,1508.03
2010-08-30,1507.42
2010-08-31,1505.66
2010-09-01,1503.47
2010-09-02,1502.26
2010-09-03,1501.43
2010-09-04,1500.84
2010-09-05,1500.53
2010-09-06,1501.14
2010-09-07,1500.47
2010-09-08,1500.17
2010-09-09,1499.87
2010-09-10,1499.85
2010-09-11,1499.62
2010-09-12,1499.46
2010-09-13,1499.43
2010-09-14,1499.02
2010-09-15,1498.7
2010-09-16,1498.51
2010-09-17,1498.52
2010-09-18,1498.42
2010-09-19,1498.26
2010-09-20,1498.43
2010-09-21,1498.49
2010-09-22,1498.51
2010-09-23,1498.43
2010-09-24,1498.54
2010-09-25,1498.37
2010-09-26,1498.23
2010-09-27,1498.01
2010-09-28,1497.19
2010-09-29,1496.62
2010-09-30,1496.2
2010-10-01,1495.34
2010-10-02,1494.87
2010-10-03,1494.68
2010-10-04,1494.51
2010-10-05,1494.59
2010-10-06,1494.26
2010-10-07,1494.02
2010-10-08,1494.12
2010-10-09,1494.09
2010-10-10,1494.11
2010-10-11,1494.35
2010-10-12,1496.12
2010-10-13,1497.0
2010-10-14,1497.72
2010-10-15,1498.47
2010-10-16,1499.36
2010-10-17,1499.83
2010-10-18,1500.73
2010-10-19,1502.02
2010-10-20,1503.05
2010-10-21,1503.94
2010-10-22,1504.7
2010-10-23,1505.24
2010-10-24,1505.4
2010-10-25,1506.16
2010-10-26,1506.25
2010-10-27,1506.6
2010-10-28,1506.92
2010-10-29,1507.16
2010-10-30,1507.27
2010-10-31,1507.3
2010-11-01,1507.62
2010-11-02,1507.91
2010-11-03,1507.85
2010-11-04,1507.94
2010-11-05,1508.11
2010-11-06,1508.25
2010-11-07,1508.21
2010-11-08,1508.52
2010-11-09,1509.18
2010-11-10,1509.61
2010-11-11,1510.02
2010-11-12,1511.15
2010-11-13,1511.95
2010-11-14,1512.36
2010-11-15,1513.33
2010-11-16,1517.58
2010-11-17,1520.49
2010-11-18,1522.57
2010-11-19,1523.94
2010-11-20,1525.04
2010-11-21,1525.49
2010-11-22,1526.41
2010-11-23,1527.2
2010-11-24,1527.97
2010-11-25,1528.88
2010-11-26,1529.65
2010-11-27,1530.14
2010-11-28,1530.46
2010-11-29,1531.05
2010-11-30,1531.49
