date,lpg_price_krw
2010-08-17,941.11
2010-08-18,940.88
2010-08-19,940.95
2010-08-20,940.92
2010-08-21,940.83
2010-08-22,940.75
2010-08-23,940.73
2010-08-24,940.81
2010-08-25,940.9
2010-08-26,940.89
2010-08-27,940.95
2010-08-28,940.79
2010-08-29,940.72
2010-08-30,940.81
2010-08-31,938.9
2010-09-01,904.52
2010-09-02,902.92
2010-09-03,901.99
2010-09-04,901.43
2010-09-05,901.35
2010-09-06,901.03
2010-09-07,900.69
2010-09-08,900.71
2010-09-09,900.96
2010-09-10,900.83
2010-09-11,900.67
2010-09-12,900.94
2010-09-13,900.69
2010-09-14,900.66
2010-09-15,900.68
2010-09-16,900.62
2010-09-17,900.89
2010-09-18,900.51
2010-09-19,900.43
2010-09-20,900.55
2010-09-21,900.64
2010-09-22,900.58
2010-09-23,900.52
2010-09-24,900.53
2010-09-25,900.47
2010-09-26,900.36
2010-09-27,900.45
2010-09-28,900.46
2010-09-29,900.51
2010-09-30,901.72
2010-10-01,935.74
2010-10-02,935.97
2010-10-03,936.18
2010-10-04,937.63
2010-10-05,937.67
2010-10-06,937.87
2010-10-07,937.85
2010-10-08,937.76
2010-10-09,937.93
2010-10-10,937.75
2010-10-11,937.92
2010-10-12,937.77
2010-10-13,937.76
2010-10-14,937.8
2010-10-15,937.51
2010-10-16,937.54
2010-10-17,937.43
2010-10-18,937.58
2010-10-19,937.49
2010-10-20,937.54
2010-10-21,937.59
2010-10-22,937.57
2010-10-23,937.51
2010-10-24,937.52
2010-10-25,937.57
2010-10-26,937.55
2010-10-27,937.55
2010-10-28,937.57
2010-10-29,937.53
2010-10-30,937.6
2010-10-31,937.14
2010-11-01,931.84
2010-11-02,931.63
2010-11-03,931.52
2010-11-04,931.46
2010-11-05,931.42
2010-11-06,931.34
2010-11-07,931.34
2010-11-08,931.42
2010-11-09,931.3
2010-11-10,931.26
2010-11-11,931.29
2010-11-12,931.36
2010-11-13,931.31
2010-11-14,931.22
2010-11-15,931.23
2010-11-16,931.19
2010-11-17,931.38
2010-11-18,931.35
2010-11-19,931.21
2010-11-20,931.32
2010-11-21,931.31
2010-11-22,931.24
2010-11-23,931.27
2010-11-24,931.32
2010-11-25,931.34
2010-11-26,931.24
2010-11-27,931.29
2010-11-28,931.22
2010-11-29,931.28
2010-11-30,931.51
2010-12-01,934.44
2010-12-02,970.31
2010-12-03,971.75
2010-12-04,971.55
2010-12-05,971.81
2010-12-06,972.11
2010-12-07,972.37
2010-12-08,973.8
2010-12-09,973.69
2010-12-10,973.89
2010-12-11,973.92
2010-12-12,973.91
2010-12-13,973.96
2010-12-14,973.85
2010-12-15,973.96
2010-12-16,974.03
2010-12-17,974.02
2010-12-18,973.9
2010-12-19,973.71
2010-12-20,973.74
2010-12-21,973.78
2010-12-22,973.74
2010-12-23,974.0
2010-12-24,974.08
2010-12-25,974.01
2010-12-26,974.02
2010-12-27,974.2
2010-12-28,974.11
2010-12-29,974.08
2010-12-30,974.11
2010-12-31,975.38
2011-01-01,1058.89
2011-01-02,1067.92
2011-01-03,1068.03
2011-01-04,1067.68
2011-01-05,1067.93
2011-01-06,1068.23
2011-01-07,1068.29
2011-01-08,1068.07
2011-01-09,1067.98
2011-01-10,1068.07
2011-01-11,1068.09
2011-01-12,1068.18
2011-01-13,1068.45
2011-01-14,1068.52
2011-01-15,1068.4
2011-01-16,1068.28
2011-01-17,1068.65
2011-01-18,1068.51
2011-01-19,1068.37
2011-01-20,1068.6
2011-01-21,1068.48
2011-01-22,1068.81
2011-01-23,1068.62
2011-01-24,1068.83
2011-01-25,1068.73
2011-01-26,1068.18
2011-01-27,1068.78
2011-01-28,1068.64
2011-01-29,1068.54
2011-01-30,1068.36
2011-01-31,1068.47
2011-02-01,1068.44
2011-02-02,1068.48
2011-02-03,1068.51
2011-02-04,1068.48
2011-02-05,1068.39
2011-02-06,1068.58
2011-02-07,1068.55
2011-02-08,1068.41
2011-02-09,1068.75
2011-02-10,1068.67
2011-02-11,1068.96
2011-02-12,1069.04
2011-02-13,1068.9
2011-02-14,1068.88
2011-02-15,1068.67
2011-02-16,1068.87
2011-02-17,1068.88
2011-02-18,1069.11
2011-02-19,1069.06
2011-02-20,1068.74
2011-02-21,1068.95
2011-02-22,1068.91
2011-02-23,1069.05
2011-02-24,1069.12
2011-02-25,1069.05
2011-02-26,1068.97
2011-02-27,1069.02
2011-02-28,1069.16
2011-03-01,1069.18
2011-03-02,1069.2
2011-03-03,1068.75
2011-03-04,1068.86
2011-03-05,1068.91
2011-03-06,1068.7
2011-03-07,1068.62
2011-03-08,1068.76
2011-03-09,1069.16
2011-03-10,1068.89
2011-03-11,1069.08
2011-03-12,1068.71
2011-03-13,1068.52
2011-03-14,1068.91
2011-03-15,1068.87
2011-03-16,1068.89
2011-03-17,1068.88
2011-03-18,1069.02
2011-03-19,1068.83
2011-03-20,1068.87
2011-03-21,1069.01
2011-03-22,1068.86
2011-03-23,1068.72
2011-03-24,1069.02
2011-03-25,1068.85
2011-03-26,1068.74
2011-03-27,1068.8
2011-03-28,1068.94
2011-03-29,1068.81
2011-03-30,1068.89
2011-03-31,1068.98
2011-04-01,1068.81
2011-04-02,1068.69
2011-04-03,1068.5
2011-04-04,1068.67
2011-04-05,1068.4
2011-04-06,1068.5
2011-04-07,1068.53
2011-04-08,1068.45
2011-04-09,1068.3
2011-04-10,1068.16
2011-04-11,1068.56
2011-04-12,1068.31
2011-04-13,1067.97
2011-04-14,1068.37
2011-04-15,1068.27
2011-04-16,1068.21
2011-04-17,1068.05
2011-04-18,1068.05
2011-04-19,1068.23
2011-04-20,1068.0
2011-04-21,1068.25
2011-04-22,1068.56
2011-04-23,1067.87
2011-04-24,1068.19
2011-04-25,1068.29
2011-04-26,1068.2
2011-04-27,1068.21
2011-04-28,1068.3
2011-04-29,1068.16
2011-04-30,1068.94
2011-05-01,1071.53
2011-05-02,1068.63
2011-05-03,1068.42
2011-05-04,1068.4
2011-05-05,1068.3
2011-05-06,1068.21
2011-05-07,1068.17
2011-05-08,1068.0
2011-05-09,1067.84
2011-05-10,1067.96
2011-05-11,1067.94
2011-05-12,1067.75
2011-05-13,1067.8
2011-05-14,1067.97
2011-05-15,1067.7
2011-05-16,1067.73
2011-05-17,1067.63
2011-05-18,1067.83
2011-05-19,1067.71
2011-05-20,1067.38
2011-05-21,1067.52
2011-05-22,1067.46
2011-05-23,1067.46
2011-05-24,1067.73
2011-05-25,1067.83
2011-05-26,1067.62
2011-05-27,1067.7
2011-05-28,1067.71
2011-05-29,1067.63
2011-05-30,1067.69
2011-05-31,1069.7
2011-06-01,1117.12
2011-06-02,1118.64
2011-06-03,1118.64
2011-06-04,1118.92
2011-06-05,1118.81
2011-06-06,1119.14
2011-06-07,1119.5
2011-06-08,1119.63
2011-06-09,1120.35
2011-06-10,1121.75
2011-06-11,1121.57
2011-06-12,1121.45
2011-06-13,1121.7
2011-06-14,1121.8
2011-06-15,1121.85
2011-06-16,1121.58
2011-06-17,1121.84
2011-06-18,1121.92
2011-06-19,1121.93
2011-06-20,1121.96
2011-06-21,1121.87
2011-06-22,1121.85
2011-06-23,1121.5
2011-06-24,1121.96
2011-06-25,1121.63
2011-06-26,1121.65
2011-06-27,1121.88
2011-06-28,1121.63
2011-06-29,1121.95
2011-06-30,1121.09
2011-07-01,1103.45
2011-07-02,1101.58
2011-07-03,1101.33
2011-07-04,1101.12
2011-07-05,1100.86
2011-07-06,1100.44
2011-07-07,1100.56
2011-07-08,1100.39
2011-07-09,1100.2
2011-07-10,1100.28
2011-07-11,1099.57
2011-07-12,1099.41
2011-07-13,1099.67
2011-07-14,1099.68
2011-07-15,1099.47
2011-07-16,1099.56
2011-07-17,1099.76
2011-07-18,1099.65
2011-07-19,1099.56
2011-07-20,1099.59
2011-07-21,1099.74
2011-07-22,1099.26
2011-07-23,1099.34
2011-07-24,1099.33
2011-07-25,1099.25
2011-07-26,1099.31
2011-07-27,1099.33
2011-07-28,1099.19
2011-07-29,1099.4
2011-07-30,1099.2
2011-07-31,1098.63
2011-08-01,1083.8
2011-08-02,1083.02
2011-08-03,1082.47
2011-08-04,1082.38
2011-08-05,1082.17
2011-08-06,1081.95
2011-08-07,1081.99
2011-08-08,1081.46
2011-08-09,1081.11
2011-08-10,1081.2
2011-08-11,1081.34
2011-08-12,1081.23
2011-08-13,1081.16
2011-08-14,1081.38
2011-08-15,1081.34
2011-08-16,1081.39
2011-08-17,1081.3
2011-08-18,1081.23
2011-08-19,1081.4
2011-08-20,1081.29
2011-08-21,1081.31
2011-08-22,1081.18
2011-08-23,1081.11
